Ref_ID	Full Reference			
Ref_152	"Benda, P. First record of Crocidua dhofarensis Hutterer et Harrison, 1988 (Mammalia : Soricidae) in Yemen. Casopis Narodniho Muzea Rada Prirodovedna. 2006. 175(1-2): 27-30."			
Ref_153	"Cherem, J. Description of a new species of the genus Cavia Pallas, 1766 (Mammalia - Caviidae) of the Moleques do Sul islands, Santa Catarina, southern Brazil. Biotemas. 1999. 12(1):95-117."			
Ref_154	"Silva Junior, J. On a new species of bare-eared marmoset, genus Callithrix, Erxleben, 1777 from central Amazonia, Brazil (Primates, Callitrichidae). Goeldiana Zoologia. 1998. 21:1-29."			
Ref_155	Reference lost			
Ref_156	"de Oliveira, J. (2002). A new species of sigmodontine rodent from the Atlantic forest of eastern Brazil. Acta theriologica, 47(3), 307-322."			
Ref_157	"Musser, G. (1994). New records of Tarsomys echinatus Musser & Heaney 1992 and Limnomys sibuanus Mearns 1905 from Mindanao, southern Philippines (Mammalia: Rodentia: Muridae). Senckenbergiana biologica, 73(1-2), 33-38."			
Ref_158	"Rickart, E. (2003). A new species of Limnomys (Rodentia: Muridae: Murinae) from Mindanao Island, Philippines. Journal of Mammalogy, 84(4), 1443-1455."			
Ref_159	"Camacho Perez, A. (1994). Mesocapromys angelcabrerai (Varona, 1979) endemic small hutia of Cuba. Ciencias biológicas, 26, 1-12."			
Ref_160	"Simmons, N. (1998). The mammals of Paracou, French Guiana: a Neotropical lowland rainforest fauna. Part 1. Bats. Bulletin of the American Museum of Natural History, 237, 1-219."			
Ref_161	"Simmons, N. (1996). A new species of Micronycteris (Chiroptera: Phyllostomidae) from northeastern Brazil, with comments on phylogenetic relationships. American Museum Novitates, 3158, 1-34."			
Ref_163	"Dowler, R. (2000). Rediscovery of rodents (genus Nesoryzomys) considered to be extinct in the Galapagos Islands. Oryx, 34(2), 109-117."			
Ref_164	"Wolff, J. (1985). Why are aquatic small mammals so large?. Oikos, 45(3), 365-373."			
Ref_165	"Fooden, J. (1963). A revision of the woolly monkeys (genus Lagothrix). Journal of Mammalogy, 44, 213-247."			
Ref_166	"Breed, W. (2000). Body mass, testes mass, and sperm size in murine rodents. Journal of Mammalogy, 81(3), 758-768."			
Ref_167	"Kitchener, D. (1991). Paulamys sp. cf. P. naso (Musser, 1981) (Rodentia: Muridae) from Flores Island, Nusa Tenggara, Indonesia - description from a modern specimen and a consideration of its phylogenetic affinities. Records of the Western Australian Museu"			
Ref_168	"D'Elia, G. (2006). New data of the long-clawed mouse Pearsonomys annectens (Cricetidae, Sigmodontinae) and additional comments on the distinctiveness of Pearsonomys. Mammalian Biology, 71(1), 39-51."			
Ref_169	"Mancina, C. (2000). Notes on the natural history of Phyllops falcatus (Gray, 1839) (Phyllostomidae: Stenodermatinae) in Cuba. Chiroptera neotropical, 6(1-2), 123-125."			
Ref_170	"Galaz, J. (1999). [Platalina genovensium (Thomas, 1928), a new chiropteran for the fauna of Chile (Phyllostomatidae: Glossophaginae).]. Noticiario mensual, 337, 6-12."			
Ref_171	"Braun, J. (1995). A new genus and species of phyllotine rodent (Rodentia: Muridae: Sigmodontinae: Phyllotini) from South America. Journal of Mammalogy, 76(2), 504-521."			
Ref_172	"Barquez, R. (2006). [Tapecomys primus (Rodentia: Cricetidae), new genus and species for Argentina.]. Mastozoología neotropical, 13(1), 117-121."			
Ref_173	"Musser, G. (1992). Philippine rodents: definitions of Tarsomys and Limnomys plus a preliminary assessment of phylogenetic patterns among native Philippine murines (Murinae, Muridae). Bulletin of the American Museum of Natural History, , 1-138."			
Ref_174	"Davis, W. (1970). Tomopeas ravus Miller (Chiroptera). Journal of Mammalogy, 51"			
Ref_175	"Brito, D. (2003). Minimum viable population and conservation status of the Atlantic Forest spiny rat Trinomys eliasi. Biological conservation, 113(1), 153-158."			
Ref_176	"Benda, P. First record of Crocidua dhofarensis Hutterer et Harrison, 1988 (Mammalia : Soricidae) in Yemen. Casopis Narodniho Muzea Rada Prirodovedna. 2006. 175(1-2): 27-30."			
Ref_177	"Baker, R. J., Solari, S., Hoffmann, F. G. A new central american species from the Carollia Brevicauda complex. Occasional Papers, Museum of Texas Tech Univeristy. 217:1-12."			
Ref_178	"Jetz, W.; Freckleton, R.P. : Grave extinction risk of data-deficient species inferred from phylogenetic, spatial and environmental information. J. Applied Ecology (revision in review)"			
				
				
				
				
				
				
				
				
				
				
				
				
				
				
